latitude,longitude,L1,L2,L3,L4,L5,L6,L7,LC_code
8.585495999999999,-0.019378349612740,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
6.336222000000000,0.680105679169010,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
7.552331000000000,-0.745883102499058,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
7.825912000000000,0.272532502259334,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.006854000000001,-0.241976235427247,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.397161000000001,-0.582266015786976,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
7.524303000000000,-1.260531315497913,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.494619999999999,-0.003161076640358,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.731712999999999,-2.104988428977175,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.228273000000000,-0.065717030571469,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.390434000000001,-0.874114787345538,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.040043000000001,0.308759529195751,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
5.337891000000000,-0.742950553878728,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.095889000000000,-0.884023419491278,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.174840000000000,-1.192994583535962,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
7.642496000000000,-2.204873382298368,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
7.371159000000000,-1.900927229746237,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
6.231298000000000,0.384908079223858,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.649347000000001,0.118415118380071,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
7.469391000000000,-2.407902935372981,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.006354999999999,0.029700384069719,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
5.121634000000000,-1.390812791279146,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
6.463082000000000,-0.392365374862587,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
8.872635000000002,0.389785763388257,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
7.773962000000000,-1.173917098240091,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
8.523099000000000,0.229140419217468,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
6.192228000000000,0.998982745301546,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.180692000000001,0.275810012216441,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.174357000000001,0.091112964132116,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.321990000000000,0.278119744002126,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.660394999999999,-2.308100406221036,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
8.250078999999999,0.022997686010890,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
5.900196000000000,0.414399664887923,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
7.467259000000000,-1.992272568324542,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
7.634362000000000,-1.793098036186416,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
5.837267000000000,0.265030291557834,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.869294999999999,-0.593033531585388,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
7.911399000000000,0.301450070052882,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
8.893139000000000,-0.147296653337415,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
8.317280000000000,-0.432044359234761,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.293146000000000,0.396620391823392,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.393997000000001,-0.267810399470541,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
7.422983000000000,-2.756803148221906,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.690581999999999,0.307645210617762,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
6.167282000000000,0.771307512273799,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.562450000000000,-1.923157875637147,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
7.633777000000000,-1.586278418217740,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
8.179395000000000,-0.814569318978387,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
8.275013000000000,0.308223746078996,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.968434999999999,-2.343252310025645,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.813302000000000,-2.186251628124120,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.384987000000001,-0.524250347726238,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.713960000000000,-0.226971399711571,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.137203000000000,-0.716769664899838,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
8.512734000000000,0.496721935560742,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.343324000000001,0.194851831138047,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.154998000000001,-1.104962901581849,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.024824000000001,-0.191755540015580,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
8.154335000000000,-2.374281667473993,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.628401000000000,-2.672174154492736,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.837730000000001,-1.734124337685341,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
7.366200000000000,-2.499919804855745,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.179601999999999,-0.539974399255822,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
8.144655999999999,-1.972639813941991,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.279797000000000,-0.188359152468369,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
7.690485000000000,-0.605986051647118,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
7.283167000000000,-2.229784853372825,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
7.203968000000000,-2.084314799312658,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.455482999999999,-0.394553642549905,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
8.994628000000002,-0.993779654765860,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.283400000000000,-0.240640783244765,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
6.033922000000000,0.641844945194932,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
7.970057000000000,-0.508019273639821,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
6.704717000000000,-1.683487988501418,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.911511000000001,0.079190215256240,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.836637000000000,-2.324037533574144,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
7.376983000000000,-1.344380975221431,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.554292000000000,-2.860071825403061,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.657280999999999,-1.525089115398723,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
7.727587000000000,-0.753451929032832,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.886865999999999,-0.459056251480544,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
8.006003000000000,-1.135645035010297,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
8.172789000000000,-0.149443599712371,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.546846000000000,-1.542600651192304,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.178819000000001,-0.836376225473054,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.015145000000000,0.338592628192884,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.015143000000000,0.334462512564629,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.751621000000000,0.187657181349204,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
7.454641000000000,-1.679129997924041,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.353776999999999,-1.063596960894280,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
5.884354000000000,-0.003088482393237,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
5.726107000000000,-0.785107615385147,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.724439000000000,-0.636612258099328,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.954464000000000,-0.039462048985925,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.747211999999999,0.001155024069738,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.568237000000000,-0.805464490863015,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.351148999999999,-1.232938453395282,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
6.918414000000000,-1.113678373291305,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
8.856434999999999,0.100811404534130,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.328531999999999,-0.500359305398156,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.670313999999999,-0.484806089311053,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.160515000000000,-1.517131593164356,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
6.551493000000000,-1.503477766796575,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
8.798887000000002,-1.504534350487722,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.015840000000001,-2.220659960673199,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.438192000000001,-1.026861821240339,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.117583000000000,-0.020839191648490,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
6.871495000000000,-0.364881870722258,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
8.054102000000000,-1.507491116128233,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.152517000000000,0.348044729860067,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.996116000000001,-0.170341118958575,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
8.738740000000000,0.143255007330803,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.741702000000000,-1.117934180004317,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.632769000000000,-0.948265736007915,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.299391999999999,-0.519704610050275,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
6.559172000000000,0.329831319925158,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.326459000000000,-2.323777643295908,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.774174000000000,-2.801988983725108,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.157836000000000,-0.095949433269990,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
8.534705000000002,0.416436211293460,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.540516999999999,-1.431186665479832,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.375165000000001,-0.687556789149917,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
7.836501000000000,-2.078896308512997,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
8.361917999999999,-0.502018556696384,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.711957000000000,-1.821443710595279,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.152101000000000,-0.649925721868746,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.839752000000001,-1.240623051119399,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.208213000000001,-0.794332997593364,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.793564999999999,-0.464978325298335,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
7.812928000000000,-0.685886060513088,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
7.045926000000000,-0.428401528592644,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.788243000000000,0.061381119082046,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.470527000000001,-1.696100549402011,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
6.875322000000000,-0.918334535248650,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
8.785697000000004,-0.301753430865118,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
6.737650000000000,0.105416284769943,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
8.766463000000000,-0.471561055098588,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
6.215761000000000,-0.061118246487100,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.652362999999999,-2.422664761125360,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.576584000000000,-0.954962769640871,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.558552000000001,-0.817905267884079,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
8.695373999999999,-0.214026763396126,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
8.395051000000000,0.046992309987609,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
8.996899000000004,0.471548712837779,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
8.450213000000000,0.338728444317645,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
10.664609000000000,-2.046334288274213,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
7.833228000000000,-1.049371055012647,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.947015000000000,-0.521080105806081,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
9.268132000000000,-1.013844117202733,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
8.542838000000000,-0.219025830006382,Vegetated,Cultivated veget,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,Cultivated rainfed,"5"
